Rank,Player,Points
1,Alcaraz C.,12050
2,Sinner J.,11500
3,Zverev A.,5160
4,Djokovic N.,4830
5,Auger-Aliassime F.,4245
6,Fritz T.,4135
7,De Minaur A.,4135
8,Musetti L.,4040
9,Shelton B.,3970
10,Draper J.,2990
11,Bublik A.,2870
12,Ruud C.,2835
13,Medvedev D.,2760
14,Davidovich Fokina A.,2635
15,Rune H.,2590
16,Rublev A.,2520
17,Lehecka J.,2325
18,Khachanov K.,2320
19,Mensik J.,2180
20,Paul T.,2100
21,Cerundolo J.M.,2085
22,Cobolli F.,2025
23,Shapovalov D.,1675
24,Fonseca J.,1635
25,Griekspoor T.,1615
26,Darderi L.,1609
27,Norrie C.,1573
28,Tien L.,1550
29,Rinderknech A.,1540
30,Tiafoe F.,1510
31,Vacherot V.,1483
32,Machac T.,1445
33,Nakashima B.,1430
34,Tsitsipas S.,1425
35,Moutet C.,1408
36,Munar J.,1395
37,Humbert U.,1380
38,Michelsen A.,1325
39,Sonego L.,1265
40,Fils A.,1260
41,Diallo G.,1253
42,Muller A.,1230
43,Bergs Z.,1218
44,Dimitrov G.,1180
45,Baez S.,1155
46,Altmaier D.,1148
47,Borges N.,1145
48,Korda S.,1100
49,Ugo Carabelli C.,1078
50,Opelka R.,1026
51,Marozsan F.,1025
52,Kecmanovic M.,1025
53,Brooksby J.,1017
54,Popyrin A.,1000
55,Fucsovics M.,963
56,Berrettini M.,945
57,Dzumhur D.,937
58,Royer V.,936
59,Mpetshi Perricard G.,925
60,Etcheverry T.,920
61,Comesana F.,904
62,Kovacevic A.,890
63,Arnaldi M.,883
64,Majchrzak K.,861
65,Atmane T.,855
66,Giron M.,855
67,Cazaux A.,848
68,Monfils G.,825
69,Mannarino A.,817
70,Quinn E.,802
71,Fearnley J.,787
72,Navone M.,785
73,Hurkacz H.,775
74,Bellucci M.,766
75,Cilic M.,765
76,De Jong J.,763
77,Van De Zandschulp B.,756
78,Walton A.,740
79,Misolic F.,726
80,Garin C.,726
81,Tabilo A.,721
82,Vukic A.,718
83,Medjedovic H.,718
84,Struff J.L.,711
85,Cerundolo J.M.,704
86,Collignon R.,704
87,Nardi L.,699
88,Nava E.,684
89,Carreno Busta P.,681
90,Svrcina D.,680
91,Spizzirri E.,680
92,Halys Q.,679
93,Bautista Agut R.,670
94,Mochizuki S.,669
95,Martinez P.,668
96,Bonzi B.,667
97,Shevchenko A.,662
98,Gaston H.,653
99,Djere L.,652
100,Schoolkate T.,649
101,Tirante T.A.,649
102,Kopriva V.,636
103,Taberner C.,636
104,Hanfmann Y.,631
105,Buse I.,627
106,Duckworth J.,615
107,Burruchaga R.,615
108,Thompson J.,586
109,Barrios Vera M.T.,585
110,Basilashvili N.,579
111,Nishioka Y.,566
112,McDonald M.,559
113,Holt B.,559
114,O'Connell C.,546
115,Coric B.,545
116,Blockx A.,542
117,Kypson P.,533
118,Goffin D.,525
119,Lajovic D.,519
120,Bu Y.,509
121,Jarry N.,501
122,Prizmic D.,501
123,Draxl L.,501
124,Tseng C.H.,498
125,Harris B.,490
126,Virtanen O.,488
127,Hijikata R.,485
128,Passaro F.,485
129,Choinski J.,484
130,Gaubas V.,478
131,Landaluce M.,474
132,Budkov Kjaer N.,473
133,Carballes Baena R.,469
134,Ofner S.,463
135,Trungelliti M.,458
136,Echargui M.,452
137,Jacquet K.,449
138,Dellien H.,438
139,Pellegrino A.,438
140,Klein L.,436
141,Svajda Z.,431
142,Blanchet U.,427
143,Wong C.,424
144,Smith C.,424
145,Shimabukuro S.,420
146,Lajal M.,412
147,Droguet T.,410
148,Gigante M.,407
149,Faria J.,405
150,Galan D.E.,405
