Rank,Player,Points
1,Carlos Alcaraz,12050
2,Jannik Sinner,11500
3,Alexander Zverev,5160
4,Novak Djokovic,4830
5,Felix Auger-Aliassime,4245
6,Taylor Fritz,4135
7,Alex De Minaur,4135
8,Lorenzo Musetti,4040
9,Ben Shelton,3970
10,Jack Draper,2990
11,Alexander Bublik,2870
12,Casper Ruud,2835
13,Daniil Medvedev,2760
14,Alejandro Davidovich Fokina,2635
15,Holger Rune,2590
16,Andrey Rublev,2520
17,Jiri Lehecka,2325
18,Karen Khachanov,2320
19,Jakub Mensik,2180
20,Tommy Paul,2100
21,Francisco Cerundolo,2085
22,Flavio Cobolli,2025
23,Denis Shapovalov,1675
24,Joao Fonseca,1635
25,Tallon Griekspoor,1615
26,Luciano Darderi,1609
27,Cameron Norrie,1573
28,Learner Tien,1550
29,Arthur Rinderknech,1540
30,Frances Tiafoe,1510
31,Valentin Vacherot,1483
32,Tomas Machac,1445
33,Brandon Nakashima,1430
34,Stefanos Tsitsipas,1425
35,Corentin Moutet,1408
36,Jaume Munar,1395
37,Ugo Humbert,1380
38,Alex Michelsen,1325
39,Lorenzo Sonego,1265
40,Arthur Fils,1260
41,Gabriel Diallo,1253
42,Alexandre Muller,1230
43,Zizou Bergs,1218
44,Grigor Dimitrov,1180
45,Sebastian Baez,1155
46,Daniel Altmaier,1148
47,Nuno Borges,1145
48,Sebastian Korda,1100
49,Camilo Ugo Carabelli,1078
50,Reilly Opelka,1026
51,Fabian Marozsan,1025
52,Miomir Kecmanovic,1025
53,Jenson Brooksby,1017
54,Alexei Popyrin,1000
55,Marton Fucsovics,963
56,Matteo Berrettini,945
57,Damir Dzumhur,937
58,Valentin Royer,936
59,Giovanni Mpetshi Perricard,925
60,Tomas Martin Etcheverry,920
61,Francisco Comesana,904
62,Aleksandar Kovacevic,890
63,Matteo Arnaldi,883
64,Kamil Majchrzak,861
65,Terence Atmane,855
66,Marcos Giron,855
67,Arthur Cazaux,848
68,Gael Monfils,825
69,Adrian Mannarino,817
70,Ethan Quinn,802
71,Jacob Fearnley,787
72,Mariano Navone,785
73,Hubert Hurkacz,775
74,Mattia Bellucci,766
75,Marin Cilic,765
76,Jesper De Jong,763
77,Botic Van De Zandschulp,756
78,Adam Walton,740
79,Filip Misolic,726
80,Cristian Garin,726
81,Alejandro Tabilo,721
82,Aleksandar Vukic,718
83,Hamad Medjedovic,718
84,Jan-Lennard Struff,711
85,Juan Manuel Cerundolo,704
86,Raphael Collignon,704
87,Luca Nardi,699
88,Emilio Nava,684
89,Pablo Carreno Busta,681
90,Dalibor Svrcina,680
91,Eliot Spizzirri,680
92,Quentin Halys,679
93,Roberto Bautista Agut,670
94,Shintaro Mochizuki,669
95,Pedro Martinez Portero,668
96,Benjamin Bonzi,667
97,Alexander Shevchenko,662
98,Hugo Gaston,653
99,Laslo Djere,652
100,Tristan Schoolkate,649
101,Thiago Agustin Tirante,649
102,Vit Kopriva,636
103,Carlos Taberner,636
104,Yannick Hanfmann,631
105,Ignacio Buse,627
106,James Duckworth,615
107,Roman Andres Burruchaga,615
108,Jordan Thompson,586
109,Tomas Barrios Vera,585
110,Nikoloz Basilashvili,579
111,Yoshihito Nishioka,566
112,Mackenzie McDonald,559
113,Brandon Holt,559
114,Christopher O'Connell,546
115,Borna Coric,545
116,Alexander Blockx,542
117,Patrick Kypson,533
118,David Goffin,525
119,Dusan Lajovic,519
120,Bu Yunchaokete,509
121,Nicolas Jarry,501
122,Dino Prizmic,501
123,Liam Draxl,501
124,Chun-Hsin Tseng,498
125,Billy Harris,490
126,Otto Virtanen,488
127,Rinky Hijikata,485
128,Francesco Passaro,485
129,Jan Choinski,484
130,Vilius Gaubas,478
131,Martin Landaluce,474
132,Nicolai Budkov Kjaer,473
133,Roberto Carballes Baena,469
134,Sebastian Ofner,463
135,Marco Trungelliti,458
136,Moez Echargui,452
137,Kyrian Jacquet,449
138,Hugo Dellien,438
139,Andrea Pellegrino,438
140,Lukas Klein,436
141,Zachary Svajda,431
142,Ugo Blanchet,427
143,Chak Lam Coleman Wong,424
144,Colton Smith,424
145,Sho Shimabukuro,420
146,Mark Lajal,412
147,Titouan Droguet,410
148,Matteo Gigante,407
149,Jaime Faria,405
150,Daniel Elahi Galan,405
